Date,Close,High,Low,Open,Volume
2020-01-01,1866.114013671875,1880.1467192342836,1854.40551963228,1866.4582945973923,1354908
2020-01-02,1857.5477294921875,1876.7461198442331,1850.2730610686465,1876.7461198442331,2380752
2020-01-03,1894.5662841796875,1913.8077552662776,1863.0139372002811,1863.0139372002811,4655761
2020-01-06,1894.394775390625,1916.3480430606007,1883.5902820104254,1898.311969109656,3023209
2020-01-07,1899.044189453125,1906.620052372312,1880.0610241198594,1894.4382228564357,2429317
2020-01-08,1941.5728759765625,1945.662210268055,1895.7723739485878,1898.3120237349829,5197454
2020-01-09,1906.36181640625,1938.732002638555,1902.6167626867452,1935.9771244759359,3734173
2020-01-10,1905.6729736328125,1923.2785928420933,1900.8948670525256,1918.1131176598853,1915807
2020-01-13,1885.699462890625,1910.3214301600913,1880.835181969397,1909.3745526787739,2843893
2020-01-14,1899.9476318359375,1919.662653362504,1889.702857592631,1889.702857592631,2948452
2020-01-15,1917.166259765625,1920.6960856370229,1889.014458682549,1905.1996582316144,2620681
2020-01-16,1927.4111328125,1936.1923991221495,1906.9213713008276,1917.209234630692,3117214
2020-01-17,1910.4510498046875,1940.1094439670512,1905.1993993795434,1929.0897217169959,3281059
2020-01-20,1868.4815673828125,1930.3380056865112,1856.2995291437408,1889.6168015512435,5817599
2020-01-21,1869.084228515625,1882.42837300351,1857.8923653967538,1868.137140639768,1902980
2020-01-22,1899.9476318359375,1902.616544546567,1871.3653800813006,1877.6500831022909,1773686
2020-01-23,1890.499267578125,1913.6241557817686,1884.243478995364,1906.7644021576966,2069866
2020-01-24,1883.9849853515625,1890.4996776970142,1872.4226440719358,1890.4996776970142,1319430
2020-01-27,1871.775390625,1892.6567427318766,1868.1082036202029,1889.4209894923497,1549101
2020-01-28,1884.2867431640625,1887.7813983745964,1856.8907023647682,1875.8737857532556,1743024
2020-01-29,1859.1339111328125,1887.0475410247352,1855.1646374116426,1885.3649919741576,2306761
2020-01-30,1844.6815185546875,1868.108288812802,1833.5935860171842,1863.7939509633497,2098567
2020-01-31,1793.944580078125,1850.2898656281682,1787.5162598295744,1846.0185033027672,3287223
2020-02-03,1814.1785888671875,1893.7349157687884,1806.1538804441655,1856.8905223506242,4728073
2020-02-04,1818.7088623046875,1843.6888327753682,1800.4593000561017,1837.0447955624147,3509339
2020-02-05,1852.1876220703125,1860.9456398470606,1815.7314830321416,1824.9641198989705,2439322
2020-02-06,1836.483642578125,1876.0459806017295,1825.3957138688295,1850.8502983921717,2640065
2020-02-07,1843.5594482421875,1856.027840463638,1828.416082725453,1845.6734313118186,2083442
2020-02-10,1865.4759521484375,1869.8334742274922,1828.4158430494028,1847.3125530100199,2383032
2020-02-11,1858.098388671875,1876.5638755778048,1853.0939267822248,1866.3819991460632,1335820
2020-02-12,1873.0694580078125,1885.3653187824807,1855.1649589850497,1856.1141974145087,1620407
2020-02-13,1891.3619384765625,1895.7194604792237,1873.2849106510673,1874.9674597559865,1645948
2020-02-14,1884.675048828125,1908.662806155223,1873.2852405800134,1887.9539872819296,1500115
2020-02-17,1901.1124267578125,1912.9768524325748,1889.8519660761176,1895.6763204982735,1774724
2020-02-18,1911.898681640625,1916.4287360594958,1886.2715587746434,1898.2653328763918,2486223
2020-02-19,1895.1588134765625,1924.1942159233015,1890.1109551479785,1911.8983560233432,1760463
2020-02-20,1861.03271484375,1910.733757748042,1856.2437579611994,1902.1914535388562,2317278
2020-02-24,1825.2666015625,1880.1448406846946,1817.802672308403,1860.3420763914808,3092877
2020-02-25,1860.471435546875,1878.1602170120473,1821.5130572184623,1825.3959604669149,2674567
2020-02-26,1832.3851318359375,1867.1585164325793,1823.1954684471564,1858.6162141971745,2686842
2020-02-27,1816.767578125,1829.2359717581285,1800.1141927214535,1829.2359717581285,2349001
2020-02-28,1725.8641357421875,1785.7039648637196,1717.1060111518734,1784.4096638502886,4298076
2020-03-02,1726.85693359375,1772.2868275112446,1713.3961150532173,1755.9355289682915,2667076
2020-03-03,1756.970458984375,1777.5067440821795,1736.0891112103618,1742.9920500223313,2757585
2020-03-04,1797.525146484375,1807.2324037673704,1747.3063109392042,1774.0551976745699,3237002
2020-03-05,1833.636474609375,1853.2235231419756,1798.2589099725126,1799.6825569678913,3937056
2020-03-06,1826.21533203125,1832.4279340408907,1787.5158626276673,1810.2954735499993,2595027
2020-03-09,1701.876708984375,1794.6780463067337,1669.6486286144302,1790.4500797803323,4940975
2020-03-11,1685.7843017578125,1714.776735899227,1656.705707257426,1667.922985483648,6796449
2020-03-12,1527.1458740234375,1646.6961965549096,1517.2228987467024,1642.8995588611901,8728786
2020-03-13,1558.597412109375,1570.4186532461188,1299.52147769336,1456.4338918430894,8029720
2020-03-16,1463.7684326171875,1589.617635097848,1446.0364635471321,1514.3324465174235,7844271
2020-03-17,1430.63427734375,1493.6236031857848,1400.5633668263586,1492.7607357084967,5713248
2020-03-18,1427.52783203125,1478.5664592497835,1404.532395006362,1446.8560826461996,7258778
2020-03-19,1422.26953125,1464.945853737793,1344.3917439930342,1355.6474785594357,5135111
2020-03-20,1562.2926025390625,1624.481879031913,1414.1423312920933,1416.749846346719,8547498
2020-03-23,1451.256591796875,1521.0511528505763,1406.10314429944,1408.058781495962,7003490
2020-03-24,1480.330078125,1538.4341958851667,1419.227253780602,1436.7845890547073,6350865
2020-03-25,1521.3118896484375,1573.2014188694488,1460.2090517683282,1477.5924928608083,2765520
2020-03-26,1556.6431884765625,1592.3662342380926,1497.1919224005946,1591.9750432691276,4556067
2020-03-27,1585.8040771484375,1607.9679598380978,1521.3984627879117,1581.892803732615,4331250
2020-03-30,1545.822265625,1655.772513925007,1532.828187811398,1534.9576165834974,8513547
2020-03-31,1587.19482421875,1612.3139139635912,1547.1260198680284,1597.0165093691835,3927593
2020-04-01,1485.197265625,1594.7129089132225,1479.330356163131,1587.020759949897,4941878
2020-04-03,1437.7841796875,1512.3591745266067,1434.1336999821272,1512.3591745266067,5735369
2020-04-07,1542.9537353515625,1552.2104362321677,1481.9379174936141,1486.2837764891965,5427577
2020-04-08,1482.3291015625,1569.7243742522928,1478.4613292376248,1529.7424688172953,6285615
2020-04-09,1535.0880126953125,1546.0830587389082,1504.7103903329628,1521.4419498471034,5307397
